song_name,artist,album,movie,genre,duration_sec,release_year,rating,popularity_score,mood,language,streams,audio_url
Yahan Behta Tha Raag,Arijit Singh,Pakeezah,Pakeezah,Bollywood,235,1972,4.8,94,Romantic,Hindi,390000000,https://example.com/audio/168.mp3
Teri Aankhon Mein Sama,Arijit Singh,Lamhe,Lamhe,Bollywood,240,1991,4.7,86,Romantic,Hindi,280000000,https://example.com/audio/169.mp3
Mere Armaan Ki,Arijit Singh,Mere Armaan Ki,Mere Armaan Ki,Bollywood,225,2010,4.6,80,Romantic,Hindi,200000000,https://example.com/audio/170.mp3
Tukur Tukur,Arijit Singh,Dilwale,Dilwale,Bollywood,240,2015,4.8,95,Romantic,Hindi,430000000,https://example.com/audio/171.mp3
Tere Bina,Arijit Singh,Luka Chuppi,Luka Chuppi,Bollywood,220,2019,4.7,88,Romantic,Hindi,340000000,https://example.com/audio/172.mp3
Bekarar Banaya,Arijit Singh,Bekarar Banaya,Bekarar Banaya,Bollywood,235,2013,4.6,82,Romantic,Hindi,250000000,https://example.com/audio/173.mp3
Tere Naam Raha,Arijit Singh,Tere Naam,Tere Naam,Bollywood,240,2003,4.8,94,Romantic,Hindi,400000000,https://example.com/audio/174.mp3
Yaad Hai Tujhe,Arijit Singh,Yaad Hai Tujhe,Yaad Hai Tujhe,Bollywood,225,2012,4.7,85,Romantic,Hindi,270000000,https://example.com/audio/175.mp3
Ek Samay Tha,Arijit Singh,Ek Samay Tha,Ek Samay Tha,Bollywood,240,2014,4.6,81,Romantic,Hindi,210000000,https://example.com/audio/176.mp3
Dilbara,Arijit Singh,Dilbara,Dilbara,Bollywood,220,2015,4.8,96,Romantic,Hindi,480000000,https://example.com/audio/177.mp3
Tere Bina Jeena,Arijit Singh,Tere Bina Jeena,Tere Bina Jeena,Bollywood,235,2013,4.7,87,Romantic,Hindi,300000000,https://example.com/audio/178.mp3
Mere Pyar Ke Bina,Arijit Singh,Mere Pyar Ke Bina,Mere Pyar Ke Bina,Bollywood,240,2011,4.6,82,Romantic,Hindi,240000000,https://example.com/audio/179.mp3
Teri Kasam,Arijit Singh,Teri Kasam,Teri Kasam,Bollywood,225,2016,4.8,95,Romantic,Hindi,450000000,https://example.com/audio/180.mp3
Tujhe Dil Se Pyar,Arijit Singh,Tujhe Dil Se Pyar,Tujhe Dil Se Pyar,Bollywood,240,2010,4.7,86,Romantic,Hindi,280000000,https://example.com/audio/181.mp3
Mere Samne Wali Khidkii,Arijit Singh,Mere Samne,Mere Samne,Bollywood,220,2009,4.6,80,Romantic,Hindi,200000000,https://example.com/audio/182.mp3
Teri Akhon Mein,Arijit Singh,Teri Akhon Mein,Teri Akhon Mein,Bollywood,235,2012,4.8,94,Romantic,Hindi,390000000,https://example.com/audio/183.mp3
Tere Liye Raat Din,Arijit Singh,Tere Liye,Tere Liye,Bollywood,240,2014,4.7,87,Romantic,Hindi,310000000,https://example.com/audio/184.mp3
Dilbar Dilbar Mera,Arijit Singh,Dilbar,Dilbar,Bollywood,225,2018,4.8,96,Romantic,Hindi,520000000,https://example.com/audio/185.mp3
Tujhe Main Tadpave,Arijit Singh,Tujhe Main,Tujhe Main,Bollywood,240,2015,4.6,81,Romantic,Hindi,220000000,https://example.com/audio/186.mp3
Teri Yaadon Mein,Arijit Singh,Teri Yaadon Mein,Teri Yaadon Mein,Bollywood,220,2013,4.8,95,Romantic,Hindi,440000000,https://example.com/audio/187.mp3
Tere Bina Duniya,Arijit Singh,Tere Bina Duniya,Tere Bina Duniya,Bollywood,235,2011,4.7,86,Romantic,Hindi,290000000,https://example.com/audio/188.mp3
Mere Dil Ko Bhula,Arijit Singh,Mere Dil,Mere Dil,Bollywood,240,2012,4.6,82,Romantic,Hindi,240000000,https://example.com/audio/189.mp3
Teri Khushboo Mein,Arijit Singh,Teri Khushboo,Teri Khushboo,Bollywood,225,2014,4.8,94,Romantic,Hindi,400000000,https://example.com/audio/190.mp3
Tujhe Yaad Karte,Arijit Singh,Tujhe Yaad,Tujhe Yaad,Bollywood,240,2016,4.7,85,Romantic,Hindi,270000000,https://example.com/audio/191.mp3
Dil Mere Paas Aao,Arijit Singh,Dil Mere,Dil Mere,Bollywood,220,2013,4.6,81,Romantic,Hindi,210000000,https://example.com/audio/192.mp3
Tere Ang Ang Mein,Arijit Singh,Tere Ang,Tere Ang,Bollywood,235,2015,4.8,96,Romantic,Hindi,500000000,https://example.com/audio/193.mp3
Teri Baat Karte Ho,Arijit Singh,Teri Baat,Teri Baat,Bollywood,240,2012,4.7,87,Romantic,Hindi,310000000,https://example.com/audio/194.mp3
Mere Saath Raho,Arijit Singh,Mere Saath,Mere Saath,Bollywood,225,2014,4.6,82,Romantic,Hindi,240000000,https://example.com/audio/195.mp3
Tujhe Chahe Aankhen,Arijit Singh,Tujhe Chahe,Tujhe Chahe,Bollywood,240,2017,4.8,95,Romantic,Hindi,450000000,https://example.com/audio/196.mp3
Dil Se Bolo,Arijit Singh,Dil Se,Dil Se,Bollywood,220,2011,4.7,86,Romantic,Hindi,280000000,https://example.com/audio/197.mp3
Tere Sang Hoon Main,Arijit Singh,Tere Sang,Tere Sang,Bollywood,235,2013,4.6,81,Romantic,Hindi,220000000,https://example.com/audio/198.mp3
Teri Yad Aave,Arijit Singh,Teri Yad,Teri Yad,Bollywood,240,2015,4.8,94,Romantic,Hindi,390000000,https://example.com/audio/199.mp3
Tujhe Dekha Toh,Arijit Singh,Tujhe Dekha,Tujhe Dekha,Bollywood,225,2012,4.7,87,Romantic,Hindi,300000000,https://example.com/audio/200.mp3
